 Author Id, Author Name, Country, City, Last Article, Online, Reads, Co Author Reads, Historic Total, Profile Views,
"3160644","Glenn  Davis","United States","Florida","09 Apr 2024","4","328","0","1392","2",
"3256838","Alexander  Smith","United States","Florida","31 Jan 2025","1","328","0","328","5",
"3303208","Kimberly Gonzalez","United States","Florida","23 Apr 2025","1","314","0","314","4",
"3315930","Jesse Rodriguez","United States","Florida","16 May 2025","1","298","0","298","11",
"3179028","Lisa Ruiz","United States","Florida","05 Feb 2025","1","281","0","281","0",
"3221294","Richard L. Slater","United States","Florida","29 Aug 2024","1","249","0","249","12",
"3307552","Keith  Sharkey","United States","Florida","06 May 2025","1","244","0","244","16",
"3291068","John Sullivan","United States","Florida","02 Apr 2025","1","240","0","240","18",
"3221296","Tim  Rubin","United States","Florida","29 Aug 2024","1","224","0","224","15",
"3314638","Darin Schatzman, CPA, PRP","United States","Florida","14 May 2025","1","197","0","197","12",
"3144384","Charles Sachs","United States","Florida","05 Apr 2024","3","196","0","1607","3",
"3208464","Matthew  Wahler","United States","Florida","03 Jul 2024","1","181","0","361","44",
"3165048","Moshe Zupnick, J.D.","United States","Florida","23 Apr 2024","2","162","91","1077","16",
"3142222","Adam  Rabinowitz","United States","Florida","04 Jan 2024","1","161","0","421","10",
"3343870","Mark  Scott","United States","Florida","11 Jul 2025","1","159","0","159","1",
"3142212","Adrian  Alfonso","United States","Florida","15 Mar 2024","3","138","0","1132","2",
"3176608","David Liska","United States","Florida","25 Mar 2024","1","129","0","545","1",
"3170852","Alex Nguyen, CAMS","United States","Boca Raton","25 Jul 2024","2","125","258","747","42",
"3198362","Heidy  Duarte","United States","Florida","22 May 2024","1","98","0","324","2",
"3142268","Carlos  Diaz","United States","Boca Raton","21 Mar 2025","3","84","1914","2363","13",
"3185160","Michael Cantero","United States","Florida","18 Apr 2024","1","79","0","463","5",
"1353652","Raul Garcia","United States","Florida","13 Jul 2015","1","24","0","252","1",
"725228","Dennis Fitzpatrick, J.D.","United States","Florida","09 Aug 2010","1","17","0","441","2",
"3345530","Carlos A.  Somoza, JD, LL.M.","United States","Florida","16 Jul 2025","1","0","302","302","1",
"3139286","Janet Altman","United States","Florida","09 Apr 2024","4","0","328","1392","1",
"3177234","Mayelin Alvarez","United States","Florida","26 Jul 2024","2","0","372","800","29",
"3256840","Luis  Castillo","United States","Florida","31 Jan 2025","1","0","328","328","3",
"3194956","Laura  Duarte","United States","Florida","13 May 2024","1","0","207","432","10",
"3283902","Henry  Flefel","United States","Florida","19 Mar 2025","1","0","232","232","15",
"3343872","Scott Goldberger","United States","Florida","11 Jul 2025","1","0","159","159","0",
"3153982","Lindsay Kaiser","United States","Boca Raton","02 Feb 2024","1","0","104","519","7",
"3159378","Einat  Laver","United States","Florida","29 Oct 2024","3","0","749","1960","21",
"3315296","Robert D Matt","United States","Florida","15 May 2025","1","0","400","400","11",
"3198364","Jason  Miles","United States","Florida","22 May 2024","1","0","98","324","1",
"3198356","Bryant Moravek","United States","Florida","22 May 2024","1","0","98","324","2",
"3208468","James  Osteen","United States","Florida","11 Jul 2025","2","0","340","520","42",
"3198354","Yanelis  Perez","United States","Florida","22 May 2024","1","0","98","324","4",
"3179022","Christian Schweizer","United States","Florida","29 Aug 2024","2","0","473","473","1",
"3180432","Sun Sentinel","United States","Florida","02 Apr 2024","1","0","146","624","6",
